OID,fid_1,id,tree_cat,Name_Tree_,Photo,Descriptio,Date,in_avgtemp,in_avghum,ot_avgtemp,ot_avghum,tree_den,build_den,dis_to_bui,dis_to_wat,lat,long
-1,6311,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7589989,25.0865002,45.9603004,5931.709961,92.0154037,13.4031,297.4460144,33.64083234,72.98447797
-1,6312,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7589989,25.0865002,45.9603004,5931.709961,92.0154037,13.4031,297.4460144,33.64081089,72.98445423
-1,6313,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7589989,25.0865002,45.9603004,5931.709961,92.0154037,13.4031,297.4460144,33.64079841,72.98448405
-1,6314,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7589989,25.0865002,45.9603004,4126.399902,92.0154037,9.4774103,301.196991,33.64076595,72.98447448
-1,6315,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7613983,25.0687008,46.0433998,4126.399902,92.0154037,9.4774103,301.196991,33.64072744,72.98444322
-1,6316,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7490005,25.0566006,46.0970993,5415.910156,92.0154037,9.4774103,309.868988,33.64070853,72.98440294
-1,6317,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7468987,25.0737991,46.0153999,5415.910156,92.0154037,9.4774103,309.868988,33.64076086,72.98438596
-1,6318,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7490005,25.0566006,46.0970993,5415.910156,92.0154037,9.4774103,309.868988,33.64072139,72.98437533
-1,6319,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7490005,25.0566006,46.0970993,5415.910156,92.0154037,9.4774103,309.868988,33.64073062,72.98440522
-1,6320,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7490005,25.0566006,46.0970993,3524.639893,92.0154037,0,313.7579956,33.64068358,72.98439329
-1,6321,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7448997,24.9638004,46.5429993,6103.640137,92.0154037,9.4774103,339.7359924,33.64030334,72.9843143
-1,6322,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7448997,24.9638004,46.5429993,6103.640137,92.0154037,9.4774103,339.7359924,33.64033053,72.98428844
-1,6323,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7438011,24.9796009,46.4665985,5501.870117,92.0154037,9.4774103,335.0769958,33.6403585,72.98426081
